protein_id,W_M8,Mean_M8,W_M7,Mean_M7,W_QR_tuned,Mean_QR_tuned,W_QR_budget,Mean_QR_budget,W_Var_within,Mean_Var_within,W_Var_pool,Mean_Var_pool,W_Pooled_greedy,Mean_Pooled_greedy,W_Random_20,Mean_Random_20,W_DII,Mean_DII,Diff_W_M8_minus_M7,Diff_Mean_M8_minus_M7,Diff_W_M8_minus_QR_tuned,Diff_Mean_M8_minus_QR_tuned
1bxy_A,0.30488115976044305,0.3446093035732787,0.3230593337308377,0.3413968630258843,0.3843888287486634,0.42345235891554944,0.3843888287486634,0.42345235891554944,0.3584314638037921,0.3694157580446314,0.33757525439615566,0.3553580358100621,0.32542823378219354,0.35440212070029503,0.20008539007995624,0.24237742850009134,0.2557568301824845,0.30193691844089937,-0.018178173970394673,0.0032124405473943907,-0.07950766898822037,-0.07884305534227076
4xo1_A,0.3947116496926041,0.5358952712741781,0.4421455170576266,0.5819790553560608,0.18993162571163769,0.40177487596314304,0.18993162571163769,0.40177487596314304,0.3699407023923502,0.4535500036015894,0.3978174158340835,0.4842677916033608,0.4417795769472924,0.5993494759979036,-0.3314818523968676,0.019509986788859263,0.44650159401659195,0.5900118159087464,-0.04743386736502253,-0.04608378408188263,0.2047800239809664,0.1341203953110351
1i2t_A,0.30841483562732164,0.39290525090482903,0.33009434201137033,0.4003770056636715,0.3501031054295254,0.39229848145265384,0.3513472245286672,0.3905353325536211,0.2436122503774416,0.27581227904475064,0.24361216948119535,0.27581225207933524,0.3143420226957655,0.3886938400251489,0.2269381486716068,0.2707704953276609,0.2692637220055506,0.34259835934028243,-0.021679506384048697,-0.007471754758842486,-0.04168826980220375,0.0006067694521751932
1l2p_A,0.21525317724771198,0.3598234190443053,0.2623163706934728,0.39824443276434307,0.06678310181960712,0.23165506447850423,0.06678310181960712,0.15814167353772213,0.2785471236302891,0.41476452915244605,0.26549500747808463,0.39755925835062883,0.37473148251674226,0.44686603458147917,-0.01642737007224056,0.12829251441312875,0.2994542260608932,0.4199482829759973,-0.04706319344576082,-0.038421013720037756,0.14847007542810486,0.12816835456580108
1uoy_A,0.5712264398123155,0.6086055926527759,0.5851303158044632,0.6185459809929404,0.03489657605807073,0.17775458471089936,0.08020586947394337,0.2664570709583784,0.49552937266950636,0.5891774461751679,0.4881910174030365,0.5573274300587062,0.5833344813729816,0.6530236442896107,0.07260989089159935,0.13352035446711066,0.26923611936373015,0.3976196942269366,-0.013903875992147707,-0.00994038834016453,0.5363298637542447,0.4308510079418766
1yu5_X,0.4343490781449234,0.5097144401145818,0.335784222950677,0.4806736379915906,-0.009648559130068346,0.2577313516196783,-0.009648559130068346,0.2561427802831847,0.4242378339672278,0.4783769359085362,0.42423794433450024,0.46047206317695677,0.42257199008869406,0.5031840549361958,0.02875436484694846,0.1475803358915057,0.4214858260278477,0.4593591046815608,0.0985648551942464,0.029040802122991205,0.44399763727499175,0.2519830884949035
2yzt_A,0.4773762372310003,0.6920110764284795,0.5192266667136818,0.7063215344866451,0.08983302009541705,0.37114704708419904,0.022467832271821586,0.32341355337635613,-0.014065510280119486,0.4303350219877897,0.4224013300563828,0.6390996363583837,0.5045292042934164,0.6907607260781602,0.017385737277361035,0.14952565338068882,0.48132655008691916,0.6655426145980394,-0.04185042948268147,-0.014310458058165665,0.38754321713558326,0.32086402934428043
6l34_A,0.10193123566400975,0.31728461270144825,0.10195673531802951,0.3190116963211211,0.13343597751027347,0.3580286411006231,0.13343597751027347,0.3580286411006231,-0.16326250320258717,0.09205569356453965,-0.16326242250747947,0.07276858591741471,0.10423798601150314,0.30716954562499177,0.03546791259912889,0.16921418326562013,0.08266971694173608,0.1677547840144302,-2.549965401976717e-05,-0.0017270836196728312,-0.03150474184626373,-0.04074402839917485
4zmk_A,0.23860495135280824,0.31353470293462604,0.27237984828025963,0.31779388150272686,0.15608373378318308,0.25208566018593853,0.15608373378318308,0.25208566018593853,-0.11376225997236711,0.17324390465138037,-0.12266314858508065,0.1807740375294918,0.24650050563358739,0.3229176389075748,0.09634220955098327,0.11928386383545105,0.047417539489072014,0.2004865047611073,-0.03377489692745139,-0.004259178568100819,0.08252121756962516,0.06144904274868751
6jv8_A,0.15849360074619023,0.542628603426019,0.05990112650430701,0.5036006972648795,0.09445606758178604,0.2851062284125318,0.09445606758178604,0.26940405583587584,0.18250378599189998,0.5397663350736998,0.21783847169654658,0.5506474687798012,0.1963829438437752,0.5415287739009709,-0.16142217262295477,0.05576559181492289,-0.0037229098032014463,0.4397396340300383,0.09859247424188322,0.03902790616113949,0.06403753316440419,0.25752237501348724
1vcc_A,0.29567604268918,0.3321626376712512,0.2826484258129667,0.32442773367583005,0.2514327469791101,0.280769480314381,0.2514327469791101,0.280769480314381,0.047469974931970915,0.20449497949527382,0.1562778035279514,0.26256426593866816,0.31624459407331673,0.350095592915948,0.13001425217265133,0.14867259718365256,0.1796141289519323,0.2910903957291551,0.013027616876213344,0.00773490399542115,0.04424329571006991,0.05139315735687022
3mx7_A,0.12460812776222141,0.24372902119768988,0.1344528236130238,0.2437818264711634,0.1751101887959151,0.2742143366726459,0.21502122138929092,0.28751801420377116,0.05042452353391369,0.11340379283542838,0.05042452353391369,0.11340379283542838,0.12909076384803042,0.23830810849624084,0.07043808719766784,0.09019881005264896,0.04949794073402747,0.1535934444978397,-0.009844695850802387,-5.2805273473510717e-05,-0.0505020610336937,-0.030485315474956004
