comparison,metric,point_estimate,bootstrap_mean,bootstrap_std,ci_95_lower,ci_95_upper,gate_threshold,gate_verdict
M8_ROBUST_TRANSFER vs M7_MEAN_TRANSFER (Worst Run),Delta_worst = W[M8] - W[M7],-0.00196409939666554,-0.0016489823126010152,0.01407194842514486,-0.026101384442290553,0.028767830009419102,+0.02 with CI lower > 0.0,FAIL
M8_ROBUST_TRANSFER vs M7_MEAN_TRANSFER (Mean Skill),Delta_mean = Mean[M8] - Mean[M7],-0.0036042011327828325,-0.0034906398785721974,0.006703122624845168,-0.01645137474363679,0.010021281491316293,CI lower > -0.01,FAIL
M8_ROBUST_TRANSFER vs M5_DEVELOPMENT_TUNED_PCA_QR (Worst Run),Delta_QR_worst = W[M8] - W[QR_tuned],0.1423933435289674,0.14341647739268704,0.05768530901434472,0.03582947412394554,0.2598947303637059,+0.05 with CI lower > 0.0,PASS
M8_ROBUST_TRANSFER vs M5_DEVELOPMENT_TUNED_PCA_QR (Mean Skill),Delta_QR_mean = Mean[M8] - Mean[QR_tuned],0.1239071517510596,0.1251273431664325,0.04442880255142271,0.04032986321988702,0.2145900138041948,N/A,N/A
